RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034234,CN600281,3,AP-MONTH=05,20190527,0,20190626,1,1,SST,1,144.00,2019,05
2,,1,1,Mahdi Abdulhafedh Salem Obad /TS# /Job#200149556,1200.00,0,1,3103-203, /Batch # /Timesheet #,72.00
2,,1,2,Tran Phui Hoa /TS# /Job#200149637,1200.00,0,1,3103-203, /Batch # /Timesheet #,72.00
3,,1,1,20190626,2544.00
