RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034120,61028,1,AP-MONTH=11,20201205,0,20210104,1,0,SST,1,0.00,2020,11,
2,,1,1,"Admin Fee (5%) /TS# /Job#",5575.14,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
2,,1,2,"Regular service fee rendered for Salary (for Mr. Bao Nguyen- Salesforce) /TS# /Job#",111502.83,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,1,1,20210104,117077.97,,,,,,,,,,,,
1,,2,300034120,61029,1,AP-MONTH=11,20201205,0,20210104,1,0,SST,1,0.00,2020,11,
2,,2,1,"Admin Fee (5%) /TS# /Job#",4706.29,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
2,,2,2,"Regular service fee rendered for Salary (for Mr. Bao Nguyen- Salesforce) /TS# /Job#",94125.89,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,2,1,20210104,98832.18,,,,,,,,,,,,
1,,3,300033645,61030,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,366.23,2020,11,
2,,3,1,"Disbursement Fee /TS# /Job#",6103.86,0,1,3300-321, /Batch # /Timesheet #,366.23,,,,,,,
3,,3,1,20210306,6470.09,,,,,,,,,,,,
1,,4,300033645,61031,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,246.91,2020,11,
2,,4,1,"Disbursement Fee /TS# /Job#",4115.16,0,1,3300-321, /Batch # /Timesheet #,246.91,,,,,,,
3,,4,1,20210306,4362.07,,,,,,,,,,,,
1,,5,300033645,61032,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,205.44,2020,11,
2,,5,1,"Disbursement Fee /TS# /Job#",3424.03,0,1,3300-321, /Batch # /Timesheet #,205.44,,,,,,,
3,,5,1,20210306,3629.47,,,,,,,,,,,,
1,,6,300033645,61033,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,508.83,2020,11,
2,,6,1,"Disbursement Fee /TS# /Job#",8480.49,0,1,3300-321, /Batch # /Timesheet #,508.83,,,,,,,
3,,6,1,20210306,8989.32,,,,,,,,,,,,
1,,7,300033645,61034,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,326.97,2020,11,
2,,7,1,"Disbursement Fee /TS# /Job#",5449.45,0,1,3300-321, /Batch # /Timesheet #,326.97,,,,,,,
3,,7,1,20210306,5776.42,,,,,,,,,,,,
1,,8,300033645,61035,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,991.52,2020,11,
2,,8,1,"Disbursement Fee /TS# /Job#",16525.30,0,1,3300-321, /Batch # /Timesheet #,991.52,,,,,,,
3,,8,1,20210306,17516.82,,,,,,,,,,,,
1,,9,300033645,61036,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,1883.86,2020,11,
2,,9,1,"Disbursement Fee /TS# /Job#",31397.60,0,1,3300-321, /Batch # /Timesheet #,1883.86,,,,,,,
3,,9,1,20210306,33281.46,,,,,,,,,,,,
1,,10,300033645,61037,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,1197.80,2020,11,
2,,10,1,"Disbursement Fee /TS# /Job#",19963.40,0,1,3300-321, /Batch # /Timesheet #,1197.80,,,,,,,
3,,10,1,20210306,21161.20,,,,,,,,,,,,
1,,11,300033645,61038,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,5691.37,2020,11,
2,,11,1,"Disbursement Fee /TS# /Job#",94856.20,0,1,3300-321, /Batch # /Timesheet #,5691.37,,,,,,,
3,,11,1,20210306,100547.57,,,,,,,,,,,,
1,,12,300033645,61039,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,213.46,2020,11,
2,,12,1,"Disbursement Fee /TS# /Job#",3557.60,0,1,3300-321, /Batch # /Timesheet #,213.46,,,,,,,
3,,12,1,20210306,3771.06,,,,,,,,,,,,
1,,13,300033645,61040,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,1132.46,2020,11,
2,,13,1,"Disbursement Fee /TS# /Job#",18874.30,0,1,3300-321, /Batch # /Timesheet #,1132.46,,,,,,,
3,,13,1,20210306,20006.76,,,,,,,,,,,,
1,,14,300033645,61041,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,157.97,2020,11,
2,,14,1,"Disbursement Fee /TS# /Job#",2632.90,0,1,3300-321, /Batch # /Timesheet #,157.97,,,,,,,
3,,14,1,20210306,2790.87,,,,,,,,,,,,
1,,15,300033645,61042,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,626.36,2020,11,
2,,15,1,"Disbursement Fee /TS# /Job#",10439.30,0,1,3300-321, /Batch # /Timesheet #,626.36,,,,,,,
3,,15,1,20210306,11065.66,,,,,,,,,,,,
1,,16,300033645,61043,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,1221.93,2020,11,
2,,16,1,"Disbursement Fee /TS# /Job#",20365.53,0,1,3300-321, /Batch # /Timesheet #,1221.93,,,,,,,
3,,16,1,20210306,21587.46,,,,,,,,,,,,
1,,17,300033645,61044,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,580.87,2020,11,
2,,17,1,"Disbursement Fee /TS# /Job#",9681.10,0,1,3300-321, /Batch # /Timesheet #,580.87,,,,,,,
3,,17,1,20210306,10261.97,,,,,,,,,,,,
1,,18,300033645,61045,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,177.25,2020,11,
2,,18,1,"Disbursement Fee /TS# /Job#",2954.14,0,1,3300-321, /Batch # /Timesheet #,177.25,,,,,,,
3,,18,1,20210306,3131.39,,,,,,,,,,,,
1,,19,300033645,61046,1,AP-MONTH=11,20201206,0,20210306,1,0,SST,1,341.02,2020,11,
