RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034599,CN600702,3,AP-MONTH=04,20250418,0,20250702,1,1,SST,1,384.48,2025,04
2,,1,1,Conversion Fee /TS# /Job#200193858,4806.00,0,1,3102-231, /Batch # /Timesheet #,384.48
3,,1,1,20250702,5190.48
