RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034780,700671,1,AP-MONTH=07,20210730,0,20210913,1,0,GST,3,453.60,2021,07,
2,,1,1,"Recruitment Fee /TS# /Job#",7560.00,0,1,3204-119, /Batch # /Timesheet #,453.60,,,,,,,
3,,1,1,20210913,8013.60,,,,,,,,,,,,
1,,2,300034492,700672,1,AP-MONTH=07,20210730,0,20210829,1,0,GST,3,365.04,2021,07,
2,,2,1,"Recruitment Fee /TS# /Job#",6084.00,0,1,3204-119, /Batch # /Timesheet #,365.04,,,,,,,
3,,2,1,20210829,6449.04,,,,,,,,,,,,
1,,3,300034820,700673,1,AP-MONTH=07,20210730,0,20210829,1,0,GST,3,1209.60,2021,07,
2,,3,1,"Placement Fee /TS# /Job#",20160.00,0,1,3204-115, /Batch # /Timesheet #,1209.60,,,,,,,
3,,3,1,20210829,21369.60,,,,,,,,,,,,
1,,4,300034525,700674,1,AP-MONTH=07,20210730,0,20210928,1,0,GST,3,1047.60,2021,07,
2,,4,1,"Recruitment Fee /TS# /Job#",17460.00,0,1,3204-119, /Batch # /Timesheet #,1047.60,,,,,,,
3,,4,1,20210928,18507.60,,,,,,,,,,,,
1,,5,300034757,700675,1,AP-MONTH=07,20210730,0,20210928,1,0,GST,3,489.60,2021,07,
2,,5,1,"Recruitment Fee /TS# /Job#",8160.00,0,1,3204-119, /Batch # /Timesheet #,489.60,,,,,,,
3,,5,1,20210928,8649.60,,,,,,,,,,,,
1,,6,300034525,700676,1,AP-MONTH=07,20210730,0,20210928,1,0,GST,3,410.40,2021,07,
2,,6,1,"Recruitment Fee /TS# /Job#",6840.00,0,1,3204-119, /Batch # /Timesheet #,410.40,,,,,,,
3,,6,1,20210928,7250.40,,,,,,,,,,,,
1,,7,300034525,700677,1,AP-MONTH=07,20210730,0,20210928,1,0,GST,3,410.40,2021,07,
2,,7,1,"Recruitment Fee /TS# /Job#",6840.00,0,1,3204-119, /Batch # /Timesheet #,410.40,,,,,,,
3,,7,1,20210928,7250.40,,,,,,,,,,,,
1,,8,300034640,700678,1,AP-MONTH=07,20210730,0,20210928,1,0,GST,3,926.64,2021,07,
2,,8,1,"Recruitment Fee /TS# /Job#",15444.00,0,1,3204-119, /Batch # /Timesheet #,926.64,,,,,,,
3,,8,1,20210928,16370.64,,,,,,,,,,,,
1,,9,300034640,700679,1,AP-MONTH=07,20210730,0,20210928,1,0,GST,3,885.60,2021,07,
2,,9,1,"Recruitment Fee /TS# /Job#",14760.00,0,1,3204-119, /Batch # /Timesheet #,885.60,,,,,,,
3,,9,1,20210928,15645.60,,,,,,,,,,,,
1,,10,300034640,700680,1,AP-MONTH=07,20210730,0,20210928,1,0,GST,3,464.40,2021,07,
2,,10,1,"Recruitment Fee /TS# /Job#",7740.00,0,1,3204-119, /Batch # /Timesheet #,464.40,,,,,,,
3,,10,1,20210928,8204.40,,,,,,,,,,,,
1,,11,300034525,700681,1,AP-MONTH=07,20210803,0,20211002,1,0,GST,3,72.00,2021,07,
2,,11,1,"Placement Fee /TS# /Job#",1200.00,0,1,3204-119, /Batch # /Timesheet #,72.00,,,,,,,
3,,11,1,20211002,1272.00,,,,,,,,,,,,
1,,12,300034525,700682,1,AP-MONTH=07,20210803,0,20211002,1,0,GST,3,72.00,2021,07,
2,,12,1,"Recruitment Fee /TS# /Job#",1200.00,0,1,3204-119, /Batch # /Timesheet #,72.00,,,,,,,
3,,12,1,20211002,1272.00,,,,,,,,,,,,
1,,13,300034525,700683,1,AP-MONTH=07,20210803,0,20211002,1,0,GST,3,72.00,2021,07,
2,,13,1,"Recruitment Fee /TS# /Job#",1200.00,0,1,3204-119, /Batch # /Timesheet #,72.00,,,,,,,
3,,13,1,20211002,1272.00,,,,,,,,,,,,
1,,14,300034525,700684,1,AP-MONTH=07,20210803,0,20211002,1,0,GST,3,72.00,2021,07,
2,,14,1,"Recruitment Fee /TS# /Job#",1200.00,0,1,3204-119, /Batch # /Timesheet #,72.00,,,,,,,
3,,14,1,20211002,1272.00,,,,,,,,,,,,
1,,15,300034525,700685,1,AP-MONTH=07,20210803,0,20211002,1,0,GST,3,72.00,2021,07,
2,,15,1,"Recruitment Fee /TS# /Job#",1200.00,0,1,3204-119, /Batch # /Timesheet #,72.00,,,,,,,
3,,15,1,20211002,1272.00,,,,,,,,,,,,
1,,16,300034525,700686,1,AP-MONTH=07,20210803,0,20211002,1,0,GST,3,72.00,2021,07,
2,,16,1,"Recruitment Fee /TS# /Job#",1200.00,0,1,3204-119, /Batch # /Timesheet #,72.00,,,,,,,
3,,16,1,20211002,1272.00,,,,,,,,,,,,
1,,17,300034921,700687,1,AP-MONTH=07,20210804,0,20210903,1,0,GST,3,24.00,2021,07,
2,,17,1,"Recruitment Fee /TS# /Job#",400.00,0,1,3204-115, /Batch # /Timesheet #,24.00,,,,,,,
3,,17,1,20210903,424.00,,,,,,,,,,,,
1,,18,300034921,700688,1,AP-MONTH=07,20210804,0,20210903,1,0,GST,3,24.00,2021,07,
2,,18,1,"Recruitment Fee /TS# /Job#",400.00,0,1,3204-115, /Batch # /Timesheet #,24.00,,,,,,,
3,,18,1,20210903,424.00,,,,,,,,,,,,
1,,19,300034921,700689,1,AP-MONTH=07,20210804,0,20210903,1,0,GST,3,24.00,2021,07,
2,,19,1,"Recruitment Fee /TS# /Job#",400.00,0,1,3204-115, /Batch # /Timesheet #,24.00,,,,,,,
3,,19,1,20210903,424.00,,,,,,,,,,,,
1,,20,300034921,700690,1,AP-MONTH=07,20210804,0,20210903,1,0,GST,3,24.00,2021,07,
2,,20,1,"Recruitment Fee /TS# /Job#",400.00,0,1,3204-115, /Batch # /Timesheet #,24.00,,,,,,,
