RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034054,CN600313,3,AP-MONTH=09,20190923,0,20191023,1,1,SST,1,0.00,2019,09
2,,1,1,Outsource Fee /TS# /Job#200143044,3189.66,0,1,3102-813, /Batch # /Timesheet #,191.38
3,,1,1,20191023,3189.66
