RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034925,CN501570,3,AP-MONTH=03,20230330,0,20230514,1,1,GST,3,0.00,2023,03
2,,1,1,MSP Fee /TS# /Job#200173941,3177.54,0,2,3300-120, /Batch # /Timesheet #,0.00
3,,1,1,20230514,3177.54
1,,1,300035153,CN501571,3,AP-MONTH=03,20230330,0,20230514,1,1,GST,3,0.00,2023,03
2,,1,1,MSP Fee /TS# /Job#200183209,255.61,0,2,3300-120, /Batch # /Timesheet #,0.00
3,,1,1,20230514,255.61
