RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,NO0720024,1,300034284,524493,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,26.85,2020,07,
2,NO0720024,1,1,"Admin Fee /TS# /Job#200163550",447.48,0,1,3102-324, /Batch #NO0720024 /Timesheet #,26.85,,,,,,,
2,NO0720024,1,2,"Bonus /TS# /Job#200163550",2200.00,0,2,3102-324, /Batch #NO0720024 /Timesheet #,0.00,,,,,,,
2,NO0720024,1,3,"EPF /TS# /Job#200163550",286.00,0,2,3102-324, /Batch #NO0720024 /Timesheet #,0.00,,,,,,,
3,NO0720024,1,1,20200911,2960.33,,,,,,,,,,,,
1,NO0720024,2,300034283,524494,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,28.94,2020,07,
2,NO0720024,2,1,"Admin Fee /TS# /Job#200163612",482.40,0,1,3102-324, /Batch #NO0720024 /Timesheet #,28.94,,,,,,,
2,NO0720024,2,2,"Bonus /TS# /Job#200163612",2370.00,0,2,3102-324, /Batch #NO0720024 /Timesheet #,0.00,,,,,,,
2,NO0720024,2,3,"EPF /TS# /Job#200163612",310.00,0,2,3102-324, /Batch #NO0720024 /Timesheet #,0.00,,,,,,,
3,NO0720024,2,1,20200911,3191.34,,,,,,,,,,,,
1,NO0720024,3,300034284,524495,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,32.95,2020,07,
2,NO0720024,3,1,"Admin Fee /TS# /Job#200163653",549.18,0,1,3102-324, /Batch #NO0720024 /Timesheet #,32.95,,,,,,,
2,NO0720024,3,2,"Bonus /TS# /Job#200163653",2700.00,0,2,3102-324, /Batch #NO0720024 /Timesheet #,0.00,,,,,,,
2,NO0720024,3,3,"EPF /TS# /Job#200163653",351.00,0,2,3102-324, /Batch #NO0720024 /Timesheet #,0.00,,,,,,,
3,NO0720024,3,1,20200911,3633.13,,,,,,,,,,,,
1,NO0720031,4,300033246,524496,1,AP-MONTH=07,20200728,0,20200804,1,0,SST,1,0.00,2020,07,
2,NO0720031,4,1,"Direct Payroll Fund Transfer /TS# /Job#200156291",139582.40,0,2,2201-500, /Batch #NO0720031 /Timesheet #,0.00,,,,,,,
3,NO0720031,4,1,20200804,139582.40,,,,,,,,,,,,
1,HA0720019,5,300034635,524497,1,AP-MONTH=07,20200728,0,20200827,1,0,SST,1,144.32,2020,07,
2,HA0720019,5,1,"+Med Benefit Reimburse /TS# /Job#200163796",75.00,0,1,3102-321, /Batch #HA0720019 /Timesheet #,4.50,,,,,,,
2,HA0720019,5,2,"+Med Benefit Reimburse /TS# /Job#200166531",75.00,0,1,3102-321, /Batch #HA0720019 /Timesheet #,4.50,,,,,,,
2,HA0720019,5,3,"Admin Fee /TS# /Job#200163796",18.00,0,1,3102-321, /Batch #HA0720019 /Timesheet #,1.08,,,,,,,
2,HA0720019,5,4,"Admin Fee /TS# /Job#200166531",237.30,0,1,3102-321, /Batch #HA0720019 /Timesheet #,14.24,,,,,,,
2,HA0720019,5,5,"Consultancy Fee /TS# /Job#200166531",2000.00,0,1,3300-321, /Batch #HA0720019 /Timesheet #,120.00,,,,,,,
2,HA0720019,5,6,"EIS /TS# /Job#200163796",0.20,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
2,HA0720019,5,7,"EIS /TS# /Job#200166531",3.90,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
2,HA0720019,5,8,"EPF /TS# /Job#200163796",13.00,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
2,HA0720019,5,9,"EPF /TS# /Job#200166531",260.00,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
2,HA0720019,5,10,"Normal /TS# /Job#200163796",90.32,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
2,HA0720019,5,11,"Normal /TS# /Job#200166531",2000.00,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
2,HA0720019,5,12,"SOCSO /TS# /Job#200163796",1.50,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
2,HA0720019,5,13,"SOCSO /TS# /Job#200166531",34.15,0,2,3102-321, /Batch #HA0720019 /Timesheet #,0.00,,,,,,,
3,HA0720019,5,1,20200827,4952.69,,,,,,,,,,,,
1,NU0720002,6,300029218,524498,1,AP-MONTH=07,20200728,0,20200827,1,0,SST,1,322.15,2020,07,
2,NU0720002,6,1,"+Med Benefit Reimburse /TS# /Job#200165983",50.00,0,1,3102-101, /Batch #NU0720002 /Timesheet #,3.00,,,,,,,
2,NU0720002,6,2,"+Med Benefit Reimburse /TS# /Job#200165983",26.62,0,1,3102-101, /Batch #NU0720002 /Timesheet #,1.60,,,,,,,
2,NU0720002,6,3,"+Med Benefit Reimburse /TS# /Job#200166067",26.62,0,1,3102-101, /Batch #NU0720002 /Timesheet #,1.60,,,,,,,
2,NU0720002,6,4,"+Med Benefit Reimburse /TS# /Job#200166067",50.00,0,1,3102-101, /Batch #NU0720002 /Timesheet #,3.00,,,,,,,
2,NU0720002,6,5,"+Med Benefit Reimburse /TS# /Job#200166068",215.00,0,1,3103-101, /Batch #NU0720002 /Timesheet #,12.90,,,,,,,
2,NU0720002,6,6,"+Med Benefit Reimburse /TS# /Job#200166068",26.62,0,1,3103-101, /Batch #NU0720002 /Timesheet #,1.60,,,,,,,
2,NU0720002,6,7,"+Med Benefit Reimburse /TS# /Job#200166086",50.00,0,1,3102-101, /Batch #NU0720002 /Timesheet #,3.00,,,,,,,
2,NU0720002,6,8,"+Med Benefit Reimburse /TS# /Job#200166086",26.62,0,1,3102-101, /Batch #NU0720002 /Timesheet #,1.60,,,,,,,
