RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034403,60942,1,AP-MONTH=10,20201013,0,20210111,1,0,SST,1,1071.12,2020,10,
2,,1,1,"Right Choice 3 Month Program /TS# /Job#",17852.00,0,1,3300-600, /Batch # /Timesheet #,1071.12,,,,,,,
3,,1,1,20210111,18923.12,,,,,,,,,,,,
1,,2,300033517,60943,1,AP-MONTH=10,20201014,0,20201128,1,0,SST,1,390.00,2020,10,
2,,2,1,"Right Choice 1 Month Program /TS# /Job#",6500.00,0,1,3300-600, /Batch # /Timesheet #,390.00,,,,,,,
3,,2,1,20201128,6890.00,,,,,,,,,,,,
1,,3,300033645,60944,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,1610.90,2020,10,
2,,3,1,"Disbursement Fee /TS# /Job#",26848.30,0,1,3204-321, /Batch # /Timesheet #,1610.90,,,,,,,
3,,3,1,20210116,28459.20,,,,,,,,,,,,
1,,4,300033645,60945,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,6239.93,2020,10,
2,,4,1,"Disbursement Fee /TS# /Job#",103998.90,0,1,3204-321, /Batch # /Timesheet #,6239.93,,,,,,,
3,,4,1,20210116,110238.83,,,,,,,,,,,,
1,,5,300033645,60946,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,1585.21,2020,10,
2,,5,1,"Disbursement Fee /TS# /Job#",26420.10,0,1,3204-321, /Batch # /Timesheet #,1585.21,,,,,,,
3,,5,1,20210116,28005.31,,,,,,,,,,,,
1,,6,300033645,60947,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,1269.23,2020,10,
2,,6,1,"Disbursement Fee /TS# /Job#",21153.90,0,1,3204-321, /Batch # /Timesheet #,1269.23,,,,,,,
3,,6,1,20210116,22423.13,,,,,,,,,,,,
1,,7,300033645,60948,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,371.25,2020,10,
2,,7,1,"Disbursement Fee /TS# /Job#",6187.50,0,1,3204-321, /Batch # /Timesheet #,371.25,,,,,,,
3,,7,1,20210116,6558.75,,,,,,,,,,,,
1,,8,300033601,60949,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,33.83,2020,10,
2,,8,1,"MSP Fee /TS# /Job#",563.81,0,1,3300-210, /Batch # /Timesheet #,33.83,,,,,,,
3,,8,1,20210116,597.64,,,,,,,,,,,,
1,,9,300033601,60950,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,131.04,2020,10,
2,,9,1,"MSP Fee /TS# /Job#",2183.98,0,1,3300-210, /Batch # /Timesheet #,131.04,,,,,,,
3,,9,1,20210116,2315.02,,,,,,,,,,,,
1,,10,300033601,60951,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,33.29,2020,10,
2,,10,1,"MSP Fee /TS# /Job#",554.82,0,1,3300-210, /Batch # /Timesheet #,33.29,,,,,,,
3,,10,1,20210116,588.11,,,,,,,,,,,,
1,,11,300033601,60952,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,26.65,2020,10,
2,,11,1,"MSP Fee /TS# /Job#",444.23,0,1,3300-210, /Batch # /Timesheet #,26.65,,,,,,,
3,,11,1,20210116,470.88,,,,,,,,,,,,
1,,12,300033601,60953,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,7.80,2020,10,
2,,12,1,"MSP Fee /TS# /Job#",129.94,0,1,3300-210, /Batch # /Timesheet #,7.80,,,,,,,
3,,12,1,20210116,137.74,,,,,,,,,,,,
1,,13,300033645,60954,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,0.00,2020,10,
2,,13,1,"Levy /TS# /Job#",1079.40,0,2,3300-321, /Batch # /Timesheet #,0.00,,,,,,,
3,,13,1,20210116,1079.40,,,,,,,,,,,,
1,,14,300033645,60955,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,0.00,2020,10,
2,,14,1,"Levy /TS# /Job#",5705.40,0,2,3300-321, /Batch # /Timesheet #,0.00,,,,,,,
3,,14,1,20210116,5705.40,,,,,,,,,,,,
1,,15,300033645,60956,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,0.00,2020,10,
2,,15,1,"Levy /TS# /Job#",2158.80,0,2,3300-321, /Batch # /Timesheet #,0.00,,,,,,,
3,,15,1,20210116,2158.80,,,,,,,,,,,,
1,,16,300033645,60957,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,0.00,2020,10,
2,,16,1,"Levy /TS# /Job#",2467.20,0,2,3300-321, /Batch # /Timesheet #,0.00,,,,,,,
3,,16,1,20210116,2467.20,,,,,,,,,,,,
1,,17,300033645,60958,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,340.56,2020,10,
2,,17,1,"Disbursement Fee /TS# /Job#",5675.94,0,1,3204-321, /Batch # /Timesheet #,340.56,,,,,,,
3,,17,1,20210116,6016.50,,,,,,,,,,,,
1,,18,300033645,60959,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,861.74,2020,10,
2,,18,1,"Disbursement Fee /TS# /Job#",14362.29,0,1,3204-321, /Batch # /Timesheet #,861.74,,,,,,,
3,,18,1,20210116,15224.03,,,,,,,,,,,,
1,,19,300033645,60960,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,1221.93,2020,10,
2,,19,1,"Disbursement Fee /TS# /Job#",20365.53,0,1,3204-321, /Batch # /Timesheet #,1221.93,,,,,,,
3,,19,1,20210116,21587.46,,,,,,,,,,,,
1,,20,300033589,60961,1,AP-MONTH=10,20201018,0,20210116,1,0,GST,3,7.15,2020,10,
2,,20,1,"MSP Fee /TS# /Job#",119.19,0,1,3300-210, /Batch # /Timesheet #,7.15,,,,,,,
3,,20,1,20210116,126.34,,,,,,,,,,,,
