empno,gross
100123175,2626.04
100123182,225.81
100123186,3650
100123216,585
100123217,2208.14
100123243,160
100123284,5320.39
100123393,262.58
100123395,700.64
100123401,240
100123408,5231.78
100123409,4806.06
100123411,4849.76
100123417,318.31
100123438,12000
100123473,3995
100123519,5560
100123535,2097.5
100123536,2127.5
100123610,5081.8
100123626,4693.88
100123631,3465
100123632,2625
100123644,6996
100123714,1402.95
100123742,3600
100123778,2521.61
100123828,6904.04
100123829,4728.57
100123831,6144.23
100123832,4460.29
100123846,1906.96
100123859,18000
100123874,6200
100123907,2600.22
100123947,5590.08
100123992,4667.76
100123993,4049.18
100124084,2111.19
100124136,2416.55
100124187,1175
100124215,480.25
100124233,120
100124271,424.91
100124275,1725
100124329,6120
100124338,264.84
100124408,4500
100124434,4070
100124445,335
100124472,4300
100124502,3000
100124516,3020.48
100124527,520
100124532,722.58
100124543,10575.5
100124544,3967
100124579,2250
100124590,8150
100124615,2360.22
100124616,2294.56
100124624,1802.97
100124676,3441.53
100124688,4579
100124710,2120.91
100124733,2283.42
100124746,1182.54
100124749,3950
100124822,675
100124823,800
100124840,3450
100124841,3964.9
100124842,5126
100124875,0
100124939,1230
100124966,4922.08
100124967,5538.75
100125072,3304.26
100125088,2017.26
100125180,3803.1
100125208,960
100125226,7000
100125255,1700
100125260,2350.8
100125281,2351.45
100125325,1524.29
100125326,2101.24
100125338,3995.62
100125345,2213.84
100125348,3982.99
100125352,621
100125371,2339.28
100125400,3099.2
100125429,949.35
100125453,2530
100125456,6122.1
100125547,3700
100125558,1040
100125660,4199.75
100125678,3047.52
100125714,605
100125745,2104.41
100125751,240
100125758,480
100125778,1348.96
100125796,2266.9
100125815,367.73
100125830,0
100125874,1654.84
100125883,15927.96
100125888,1639.31
100125941,6192.01
100125973,544.5
100125988,3032.58
100125989,3677.85
100125990,4109.55
100125991,4103.41
100125992,6234.07
100125993,4969.81
100125994,3911.01
100125995,3945.18
100125996,3578.86
100125997,5086.99
100125998,6109.31
100125999,3600
100126006,2314.57
100126101,2876.64
100126104,2225.72
100126151,2864.53
100126153,5000
100126155,2000
100126184,3400
100126190,9864
100126204,2367.22
100126205,2629.86
100126206,3500
100126211,555
100126218,4432.71
100126237,615
100126269,2691.4
100126278,2600
100126289,3300
100126330,4977.2
100126333,4675.41
100126336,2414.42
100126337,3835.48
100126340,2725.36
100126349,1898.11
100126360,25022.34
100126363,4652.42
100126364,2169.28
100126371,7000
100126411,4500
100126426,2130.58
100126433,2167.91
100126435,-132.19
100126445,3097.39
100126446,3600
100126449,2584.14
100126453,1094
100126455,2099.9
100126457,1961.48
100126463,1700
100126491,5461
100126552,722.1
100126613,3142.8
100126625,2110.91
100126630,2380.89
100126631,2316.23
100126663,1589.98
100126664,4696.75
100126665,2800
100126668,2273.04
100126672,3398.35
100126673,4510.45
100126682,2614.16
100126697,2492.14
100126698,5485.7
100126722,2535.4
100126730,1153
100126742,4479.83
100126743,2249
100126745,2090.32
100126748,3676.89
100126753,4261.29
100126774,3900
100126775,2672.87
100126776,3027.11
100126793,2479.88
100126795,3498.75
100126797,2927.52
100126798,2545.56
100126809,1854.84
100126823,2100
100126847,3900
100126913,3310.52
100126915,5096.92
100126916,3069.21
100126934,5000
100126935,1900
100126936,1769.42
100126944,33408.47
100126946,3985.35
100126947,3201.66
100126948,2652.07
100126955,2532.19
100126956,3224.99
100126959,1777.42
100126961,1000
100126962,1000
100126963,1000
100126964,1000
100126965,1000
100126966,935.48
100126969,1001.07
100126970,1000
100126971,1000
100126972,1000
100126996,2077.42
100126999,4169.7
100127000,23290.78
100127001,0
100127003,11730.01
100127004,5688
100127005,24302.27
100127006,16459.6
100127008,8289.29
100127009,9053.91
100127010,8445.28
100127016,3286.37
100127017,5727.51
100127021,2800
100127037,205
100127044,405
100127047,1900
100127048,2700
100127061,967.74
100127062,1000
100127063,1000
100127064,1000
100127070,4500
100127071,4000
100127076,2680
100127079,2800
100127082,1300
100127116,2156.52
100127126,8500
100127131,2872.64
100127132,1947.35
100127135,2160.24
100127136,1962.92
100127137,2064.91
100127144,288
100127145,3000
100127167,715
100127174,2561.5
100127178,3884.54
100127179,3906.85
100127180,3884.54
100127191,3000
100127200,220.75
100127202,4833.03
100127228,2838.11
100127229,3731.36
100127230,4865.68
100127231,2824.85
100127238,4000
100127239,4000
100127240,4000
100127256,4000
100127257,4000
100127259,4000
100127260,4000
100127267,4000
100127268,4000
100127276,3722.99
100127279,1741.94
100127282,2205.23
100127283,2257.23
100127288,4259.23
100127289,3800
100127292,2021.91
100127293,3225.83
100127294,4238.42
100127295,2604.12
100127296,3554.94
100127297,3245.67
100127298,2033.46
100127302,2500
100127342,893.72
100127359,861.12
100127361,2700
100127372,5440.84
100127373,4278.96
100127379,4968.34
100127380,4520.19
100127388,2005.92
100127390,1900
100127400,1968.07
100127401,3690.4
100127402,5780
100127403,4547.4
100127404,5234.03
100127405,0
100127414,2298.56
100127421,7500
100127446,3500
100127484,4475.02
100127485,4896.63
100127489,3136.64
100127491,2575.58
100127492,2892.48
100127493,3620.13
100127494,3740.61
100127495,3024.95
100127496,3538.58
100127498,2372.57
100127501,3978
100127516,89.13
100127536,3662.66
100127537,4006.38
100127539,2596.58
100127541,2450
100127559,1060.56
100127579,406.48
100127592,4259.23
100127603,1058.4
100127632,360
100127640,1600
100127643,2700
100127644,2700
100127645,2700
100127646,2700
100127647,2700
100127648,3700
100127650,4000
100127651,2401.58
100127653,450
100127659,600
100127672,35034.57
100127674,2119.91
100127676,4747.67
100127678,4443.75
100127698,860
100127701,1185
100127707,2553.49
100127708,3278.04
100127709,2919
100127714,5040.66
100127715,2236.74
100127716,2678.79
100127718,3064
100127719,3117.82
100127720,3223.2
100127721,4125.61
100127722,2791.02
100127723,4963.07
100127740,2478.86
100127744,4046.63
100127747,0
100127749,0
100127754,5288.14
100127755,318.54
100127756,2205.23
100127757,2160.24
100127768,595
100127771,2700
100127775,2023.08
100127780,2700
100127781,2700
100127782,2700
100127783,2700
100127784,2700
100127785,2700
100127786,2700
100127788,2250.02
100127793,2579.55
100127805,2995
100127837,860
100127868,111.02
100127869,1200
100127871,1738.71
100127875,2108.11
100127876,3064.06
100127877,2380
100127878,3624.57
100127879,4548.72
100127880,5647.16
100127882,759.44
100127885,3085.8
100127889,2673.48
100127890,5605.16
100127895,5096.25
100127898,4613.29
100127899,2283.05
100127900,3406.98
100127901,4011.47
100127903,3612.31
100127907,4075.91
100127908,2889.3
100127909,3746.34
100127910,2589.75
100127911,3763.44
100127912,3622.31
100127913,2927.43
100127914,2814.66
100127915,3443.69
100127921,3200
100127922,200
100127925,1567.5
100127926,1943.33
100127932,3345.37
100127933,4308.93
100127937,1688.16
100127940,7522.7
100127942,6333.32
100127949,480
100127951,220
100127952,3472.27
100127953,2811.64
100127955,3792.92
100127956,4684.6
100127957,6430
100127958,3449
100127960,4123.86
100127961,4300.16
100127962,4228.12
100127963,1864
100127964,2679.44
100127965,3851.26
100127968,2993.54
100127979,215
100127985,1550
100127986,1500
100127988,1550
100127989,1500
100127990,1500
100127991,1500
100127992,1550
100127993,1500
100127994,1550
100127996,519
100127998,1581.03
100128000,0
100128003,4002.09
100128004,5836.76
100128005,4464.95
100128006,3568
100128007,7170.77
100128011,2170.5
100128013,3354.66
100128014,5334
100128016,4755.75
100128017,4253.73
100128018,3794.06
100128019,2432.54
100128020,3543.59
100128021,4042.4
100128022,3040.34
100128023,2803.34
100128025,3150.64
100128026,2198
100128027,1454.84
100128032,1940
100128034,1843.61
100128049,1410.72
100128052,1963.61
100128061,624
100128075,921.2
100128079,41.44
100128092,3400
100128094,1100
100128095,1100
100128098,2754.05
100128113,442
100128123,671.28
100128134,3571.2
100128139,2066.74
100128144,2003.68
100128150,1751.61
100128157,692
100128170,1008.04
100128175,6500
100128187,2700
100128188,2850
100128189,2415.03
100128194,1818.84
100128195,1572.68
100128197,1466.63
100128198,2221.11
100128199,1754.49
100128200,1575.11
100128201,1167.62
100128202,1987.8
100128203,1638.37
100128205,2467.21
100128215,2300
100128216,2300
100128217,3801.9
100128218,1827.21
100128220,1969.62
100128223,1987.8
100128230,3481.38
100128232,5430
100128233,3298.07
100128236,2103.9
100128237,3539.19
100128238,3777.86
100128239,3357.12
100128240,2343.92
100128273,1501.61
100128274,1500
100128275,1667.83
100128277,2282.9
100128288,4522.16
100128289,4366.3
100128311,2427.4
100128313,0
100128314,53.36
100128317,3506.72
100128319,1700
100128324,2500
100128325,2700
100128327,4500
100128330,3284.16
100128336,3640
100128341,3150
100128343,2351.48
100128355,1642.38
100128356,3248.19
100128357,3687.61
100128362,2327.23
100128364,2434.22
100128366,838.71
100128369,2818.4
100128386,3150
100128388,5938.19
100128410,3335
100128411,3900
100128412,985
100128413,1050
100128414,3715
100128415,3865.5
100128416,3885
100128417,3719.2
100128418,2450
100128425,8000
100128435,5131
100128436,4498.09
100128437,1831.11
100128448,5313
100128461,0
100128466,5800
100128467,5000
100128478,1403.22
100128482,2500
100128483,2200
100128485,2380.15
100128487,2163.12
100128488,2594.48
100128490,2421.82
100128491,1152.74
100128492,2014.04
100128493,3668.16
100128494,2879.99
100128495,1934.3
100128496,3073.54
100128497,2964.16
100128498,4406.44
100128499,1490
100128508,2307.56
100128532,5008.59
100128536,3580
100128537,2240.76
100128538,3531.1
100128547,844.25
100128550,650
100128556,2996.86
100128557,1705
100128558,1342
100128560,0
100128564,1419.35
100128565,2862.6
100128566,403.23
100128579,3140.74
100128580,3795.38
100128581,4494.57
100128582,3607.32
100128583,8000
100128584,1200
100128585,1107.38
100128586,1239.12
100128588,4114.56
100128590,3622.2
100128593,3354.8
100128594,5750.4
100128596,3413.77
100128597,3453.52
100128598,3462.57
100128599,3349.53
100128600,3248.15
100128602,0
100128603,3017.85
100128614,16298.4
100128634,2800
100128635,5709.69
100128650,1376.04
100128653,2286.25
100128655,2699.2
100128658,2576.96
100128659,300
100128661,2161.3
100128662,3023.16
100128663,2123.08
100128664,0
100128666,0
100128670,325
100128672,6749.38
100128674,2200
100128677,3800
100128678,2700
